ua,especialidad,estado,fecha_inicio,fecha_fin,numeros,asignados,asistidos,libres,fecha_datos
Punta De Rieles,Pediatría,Cerrada,2025-01-02 07:00:00,2025-01-02 08:00:00,4,4,3,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-02 07:00:00,2025-01-02 08:00:00,3,3,1,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-02 07:00:00,2025-01-02 10:30:00,7,8,5,0,2025-03-15 06:01:41
Lavalleja,Partera,Cerrada,2025-01-02 07:20:00,2025-01-02 12:00:00,14,2,1,0,2025-03-15 06:01:41
Giraldez,Pediatría,Cerrada,2025-01-02 07:30:00,2025-01-02 09:30:00,6,6,4,0,2025-03-15 06:01:41
Lavalleja,Nutrición,Cerrada,2025-01-02 07:30:00,2025-01-02 12:30:00,15,4,2,0,2025-03-15 06:01:41
Francisco Pucci,Pediatría,Cerrada,2025-01-02 07:40:00,2025-01-02 10:10:00,7,7,5,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-02 08:00:00,2025-01-02 08:10:00,1,3,1,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina General,Cerrada,2025-01-02 08:00:00,2025-01-02 08:40:00,2,2,2,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-02 08:00:00,2025-01-02 09:00:00,1,3,2,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-02 08:00:00,2025-01-02 09:00:00,1,4,0,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-02 08:00:00,2025-01-02 09:00:00,4,12,2,0,2025-03-15 06:01:41
Buceo,Partera,Cerrada,2025-01-02 08:00:00,2025-01-02 09:40:00,5,2,2,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-02 08:00:00,2025-01-02 10:00:00,6,7,4,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-02 08:00:00,2025-01-02 10:00:00,6,6,4,0,2025-03-15 06:01:41
Parque Bellan,Ginecoobstetricia,Cerrada,2025-01-02 08:00:00,2025-01-02 10:00:00,6,8,5,0,2025-03-15 06:01:41
Yucatan,Odontología,Cerrada,2025-01-02 08:00:00,2025-01-02 11:00:00,4,4,4,0,2025-03-15 06:01:41
Punta De Rieles,Psicología,Cerrada,2025-01-02 08:00:00,2025-01-02 11:00:00,3,3,2,0,2025-03-15 06:01:41
Parque Bellan,Odontología,Cerrada,2025-01-02 08:00:00,2025-01-02 11:00:00,6,4,4,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-02 08:00:00,2025-01-02 12:00:00,4,1,1,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-02 08:00:00,2025-01-02 12:00:00,12,13,12,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 08:15:00,2025-01-02 09:15:00,2,0,0,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 08:15:00,2025-01-02 09:15:00,2,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 08:15:00,2025-01-02 09:15:00,4,5,4,0,2025-03-15 06:01:41
Colon,Partera,Cerrada,2025-01-02 08:20:00,2025-01-02 11:00:00,8,10,8,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-02 08:30:00,2025-01-02 09:00:00,1,1,0,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-02 08:30:00,2025-01-02 09:00:00,1,4,4,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-02 08:30:00,2025-01-02 09:15:00,3,3,1,0,2025-03-15 06:01:41
Aquiles Lanza,Pediatría,Cerrada,2025-01-02 08:30:00,2025-01-02 09:30:00,3,3,3,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-02 08:30:00,2025-01-02 09:30:00,4,4,1,0,2025-03-15 06:01:41
Inve 16,Partera,Cerrada,2025-01-02 08:30:00,2025-01-02 09:50:00,4,1,1,0,2025-03-15 06:01:41
